origin,destination,count
ABE,ATL,853
ABE,BHM,1
ABE,CLE,805
ABE,CLT,465
ABE,CVG,247
ABE,DTW,997
ABE,JFK,3
ABE,LGA,9
ABE,ORD,1425
ABE,PHL,2
ABI,DFW,2660
ABQ,AMA,368
